layer,component,delta_wait_logit_mean,delta_wait_logit_std,n_events
0,attn,-15.081022135416667,4.019743956875109,120
27,mlp,-10.354947916666667,2.7192669985391946,120
27,attn,-1.7458333333333333,0.8567550622521456,120
19,mlp,-0.8729166666666667,0.4885730308178882,120
23,mlp,-0.7567708333333333,0.43223845686835694,120
24,mlp,-0.696875,0.609721338230931,120
20,mlp,-0.509375,0.5081175352434207,120
22,mlp,-0.5026041666666666,0.7458919281436741,120
17,attn,-0.4953125,0.5125885414907819,120
1,attn,-0.453125,0.5912222287257946,120
18,mlp,-0.34375,0.5548321913012993,120
25,mlp,-0.32760416666666664,0.7097939838871029,120
21,mlp,-0.30885416666666665,0.5325102965660661,120
17,mlp,-0.28229166666666666,0.4794204510005128,120
16,mlp,-0.2604166666666667,0.4680813391452627,120
19,attn,-0.259375,0.37418065251197286,120
15,attn,-0.23385416666666667,0.5736520458696127,120
13,mlp,-0.103125,0.2919897420351982,120
16,attn,-0.09427083333333333,0.48750106613041505,120
25,attn,-0.09375,0.25686478311890615,120
8,mlp,-0.06666666666666667,0.18542856711251524,120
7,mlp,-0.05572916666666667,0.21203233160619295,120
2,mlp,-0.053125,0.18020653708565446,120
3,attn,-0.05,0.11618045945710427,120
6,attn,-0.0375,0.1361613600342863,120
22,attn,-0.0375,0.16652655174768616,120
9,mlp,-0.03125,0.15309310892394862,120
10,attn,-0.029166666666666667,0.1922427707695799,120
3,mlp,-0.022916666666666665,0.0972080488535017,120
11,mlp,-0.022916666666666665,0.22511862730245888,120
4,mlp,-0.019791666666666666,0.13750079577055194,120
2,attn,-0.013541666666666667,0.16902761426392285,120
6,mlp,-0.013020833333333334,0.226856231041435,120
0,mlp,-0.009895833333333333,0.1922534424059729,120
7,attn,-0.0067708333333333336,0.17030693862505292,120
12,mlp,-0.005208333333333333,0.2994198843712001,120
4,attn,-0.0046875,0.1281541394410745,120
5,mlp,0.005729166666666666,0.13750377986910506,120
5,attn,0.016145833333333335,0.11005627658660108,120
12,attn,0.021354166666666667,0.22329769100020358,120
14,mlp,0.021875,0.346676333259161,120
18,attn,0.022916666666666665,0.4305749445952066,120
15,mlp,0.0234375,0.37024847756142715,120
8,attn,0.0265625,0.18892360470270922,120
1,mlp,0.0296875,0.09889173824368314,120
11,attn,0.0375,0.20214189209022235,120
23,attn,0.040625,0.3273920134367742,120
9,attn,0.05364583333333333,0.17571429727887053,120
26,attn,0.0671875,0.3714080864078751,120
14,attn,0.08020833333333334,0.23415985690428273,120
24,attn,0.08645833333333333,0.5772280165785866,120
10,mlp,0.10260416666666666,0.2758195191159432,120
13,attn,0.1296875,0.4242952092969621,120
20,attn,0.2598958333333333,0.35085016730573093,120
21,attn,0.28802083333333334,0.6727698059122443,120
26,mlp,1.1270833333333334,0.8055387526822215,120
